ID;Station;Line;AdmArea;District;MCDStation;AeroexpressStation;RailwayStation;RailwayTerminal;ObjectStatus;global_id
144;Савёловская;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;Бутырский район;"[{""value"": ""Савеловская"", ""global_id"": 1058906777}]";"[{""value"": ""Савеловский вокзал"", ""global_id"": 1508984420}]";"[{""value"": ""Савёловская"", ""global_id"": 1132046977}]";"[[{""value"": ""Савеловский"", ""global_id"": 1058615229}]]";действует;58702017
2;Черкизовская;Сокольническая линия;Восточный административный округ;район Преображенское;;;;"[[{""value"": ""Восточный"", ""global_id"": 1124877069}]]";действует;58702206
12;Кропоткинская;Сокольническая линия;Центральный административный округ;район Хамовники;;;;[];действует;58702216
100;Ленинский проспект;Калужско-Рижская линия;Южный административный округ;Донской район;;;;[];действует;58702226
92;Рижская;Калужско-Рижская линия;Центральный административный округ;Мещанский район;"[{""value"": ""Рижская"", ""global_id"": 1058999474}]";;"[{""value"": ""Рижская"", ""global_id"": 1132155406}]";"[[{""value"": ""Рижский"", ""global_id"": 1058611993}]]";действует;58702201
261;Рижская;Большая кольцевая линия;Центральный административный округ;Мещанский район;"[{""value"": ""Рижская"", ""global_id"": 1058999474}]";;"[{""value"": ""Рижская"", ""global_id"": 1132155406}]";"[[{""value"": ""Рижский"", ""global_id"": 1058611993}]]";действует;58702056
139;Отрадное;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;район Отрадное;;;;[];действует;58702126
105;Беляево;Калужско-Рижская линия;Юго-Западный административный округ;район Коньково;;;;[];действует;58702136
147;Чеховская;Серпуховско-Тимирязевская линия;Центральный административный округ;Тверской район;;;;[];действует;58702227
93;Проспект Мира;Калужско-Рижская линия;Центральный административный округ;Мещанский район;;;;[];действует;58702217
79;Курская;Кольцевая линия;Центральный административный округ;Басманный район;"[{""value"": ""Курская"", ""global_id"": 1059233904}]";;"[{""value"": ""Курская"", ""global_id"": 1132155409}]";"[[{""value"": ""Курский"", ""global_id"": 1058614652}]]";действует;58702007
293;Угрешская;Московское центральное кольцо;Юго-Восточный административный округ;район Печатники;;;;[];действует;277904746
59;Волоколамская;Арбатско-Покровская линия;Северо-Западный административный округ;район Митино;"[{""value"": ""Волоколамская"", ""global_id"": 1058982846}]";;"[{""value"": ""Волоколамская"", ""global_id"": 1132155513}]";[];действует;58702018
94;Сухаревская;Калужско-Рижская линия;Центральный административный округ;Красносельский район;;;;[];действует;58702218
145;Менделеевская;Серпуховско-Тимирязевская линия;Центральный административный округ;Тверской район;;;;[];действует;58702208
153;Нагорная;Серпуховско-Тимирязевская линия;Южный административный округ;Нагорный район;;;;[];действует;58702198
173;Люблино;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Люблино;;;;[];действует;58702188
5;Красносельская;Сокольническая линия;Центральный административный округ;Красносельский район;;;;[];действует;58702178
103;Новые Черёмушки;Калужско-Рижская линия;Юго-Западный административный округ;район Черёмушки;;;;[];действует;58701979
128;Выхино;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Выхино-Жулебино;;;"[{""value"": ""Выхино"", ""global_id"": 1132155449}]";[];действует;58702168
131;Перово;Калининская линия;Восточный административный округ;район Новогиреево;;;;[];действует;58702158
19;Юго-Западная;Сокольническая линия;Западный административный округ;район Тропарёво-Никулино;;;;[];действует;58702088
251;Каховская;Большая кольцевая линия;Юго-Западный административный округ;район Зюзино;;;;[];действует;58701966
205;Жулебино;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Выхино-Жулебино;;;;[];действует;58702116
28;Павелецкая;Замоскворецкая линия;Центральный административный округ;район Замоскворечье;;"[{""value"": ""Павелецкий вокзал"", ""global_id"": 1508979807}]";"[{""value"": ""Павелецкий вокзал"", ""global_id"": 1272850186}]";"[[{""value"": ""Павелецкий"", ""global_id"": 1058615635}]]";действует;58701968
143;Дмитровская;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;Бутырский район;"[{""value"": ""Дмитровская"", ""global_id"": 1058996666}]";;"[{""value"": ""Дмитровская"", ""global_id"": 1132155396}]";[];действует;58701978
20;Красногвардейская;Замоскворецкая линия;Южный административный округ;район Зябликово;;;;[];действует;58701988
121;Китай-город;Таганско-Краснопресненская линия;Центральный административный округ;Тверской район;;;;[];действует;58702106
111;Сходненская;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Южное Тушино;;;;[];действует;58702086
159;Улица академика Янгеля;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Южное;;;;[];действует;58702033
295;Нижегородская;Московское центральное кольцо;Юго-Восточный административный округ;Нижегородский район;;;"[{""value"": ""Нижегородская"", ""global_id"": 1132155557}]";[];действует;277904752
279;Окружная;Московское центральное кольцо;Северный административный округ;Тимирязевский район;"[{""value"": ""Окружная"", ""global_id"": 1058907212}]";"[{""value"": ""Окружная"", ""global_id"": 1508983290}]";"[{""value"": ""Окружная"", ""global_id"": 1132046990}]";[];действует;277904762
108;Ясенево;Калужско-Рижская линия;Юго-Западный административный округ;район Ясенево;;;;[];действует;58702152
44;Семёновская;Арбатско-Покровская линия;Восточный административный округ;район Соколиная Гора;;;;[];действует;58702162
55;Молодёжная;Арбатско-Покровская линия;Западный административный округ;район Кунцево;;;;[];действует;58702172
51;Киевская;Арбатско-Покровская линия;Западный административный округ;район Дорогомилово;;"[{""value"": ""Киевский вокзал"", ""global_id"": 1508979255}]";"[{""value"": ""Киевский вокзал"", ""global_id"": 1132155459}]";"[[{""value"": ""Киевский"", ""global_id"": 1058616246}]]";действует;58702076
80;Комсомольская;Кольцевая линия;Центральный административный округ;Красносельский район;"[{""value"": ""Каланчевская"", ""global_id"": 1059233585}]";;"[{""value"": ""Ленинградский вокзал"", ""global_id"": 1132155426}]";"[[{""value"": ""Ленинградский"", ""global_id"": 1058613060}], [{""value"": ""Казанский"", ""global_id"": 1058611738}]]";действует;58702182
66;Кутузовская;Филёвская линия;Западный административный округ;район Дорогомилово;;;;[];действует;58702192
50;Смоленская;Арбатско-Покровская линия;Центральный административный округ;район Арбат;;;;[];действует;58702212
273;Локомотив;Московское центральное кольцо;Восточный административный округ;район Преображенское;;;;"[[{""value"": ""Восточный"", ""global_id"": 1124877069}]]";действует;277904742
81;Проспект Мира;Кольцевая линия;Центральный административный округ;Мещанский район;;;;[];действует;58702103
300;Шелепиха;Большая кольцевая линия;Центральный административный округ;Пресненский район;"[{""value"": ""Тестовская"", ""global_id"": 1058903381}]";"[{""value"": ""Тестовская"", ""global_id"": 1508985132}]";"[{""value"": ""Тестовская"", ""global_id"": 1132155494}]";[];действует;696749112
305;Панфиловская;Московское центральное кольцо;Северо-Западный административный округ;район Щукино;;;;[];действует;905932372
216;Лесопарковая;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Северное Бутово;;;;[];действует;58702092
15;Спортивная;Сокольническая линия;Центральный административный округ;район Хамовники;;;;[];действует;58702072
63;Филёвский парк;Филёвская линия;Западный административный округ;район Фили-Давыдково;;;;[];действует;58702022
40;Щёлковская;Арбатско-Покровская линия;Восточный административный округ;район Гольяново;;;;[];действует;58702229
192;Тимирязевская;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Бутырский район;"[{""value"": ""Тимирязевская"", ""global_id"": 1058907003}]";;"[{""value"": ""Тимирязевская"", ""global_id"": 1132046986}]";[];действует;58702219
227;улица Дмитриевского;Некрасовская линия;Восточный административный округ;район Косино-Ухтомский;;;;[];действует;58702209
53;Славянский бульвар;Арбатско-Покровская линия;Западный административный округ;район Фили-Давыдково;"[{""value"": ""Славянский бульвар"", ""global_id"": 1058902031}]";"[{""value"": ""Славянский бульвар"", ""global_id"": 1508985977}]";"[{""value"": ""Славянский бульвар"", ""global_id"": 1132155390}]";[];действует;58702147
184;Бульвар адмирала Ушакова;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Южное Бутово;;;;[];действует;58701967
175;Марьино;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Марьино;;;;[];действует;58701997
85;Киевская;Кольцевая линия;Западный административный округ;район Дорогомилово;;"[{""value"": ""Киевский вокзал"", ""global_id"": 1508979255}]";"[{""value"": ""Киевский вокзал"", ""global_id"": 1132155459}]";"[[{""value"": ""Киевский"", ""global_id"": 1058616246}]]";действует;58702146
107;Тёплый стан;Калужско-Рижская линия;Юго-Западный административный округ;район Ясенево;;;;[];действует;58702166
178;Зябликово;Люблинско-Дмитровская линия;Южный административный округ;район Зябликово;;;;[];действует;58702176
138;Бибирево;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;район Бибирево;;;;[];действует;58702186
75;Октябрьская;Кольцевая линия;Центральный административный округ;район Якиманка;;;;[];действует;58702196
120;Кузнецкий мост;Таганско-Краснопресненская линия;Центральный административный округ;Мещанский район;;;;[];действует;58702024
84;Краснопресненская;Кольцевая линия;Центральный административный округ;Пресненский район;;;;[];действует;58702034
49;Арбатская;Арбатско-Покровская линия;Центральный административный округ;район Арбат;;;;[];действует;58702044
182;Улица Старокачаловская;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Северное Бутово;;;;[];действует;58702150
88;Свиблово;Калужско-Рижская линия;Северо-Восточный административный округ;район Свиблово;;;;[];действует;58702148
228;Лухмановская;Некрасовская линия;Восточный административный округ;район Косино-Ухтомский;;;;[];действует;58702008
217;Деловой центр;Солнцевская линия;Центральный административный округ;Пресненский район;"[{""value"": ""Тестовская"", ""global_id"": 1058903381}]";"[{""value"": ""Тестовская"", ""global_id"": 1508985132}]";"[{""value"": ""Тестовская"", ""global_id"": 1132155494}]";[];действует;58702079
183;Улица Скобелевская;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Южное Бутово;;;;[];действует;58702121
65;Фили;Филёвская линия;Западный административный округ;район Филёвский Парк;"[{""value"": ""Фили"", ""global_id"": 1058903042}]";"[{""value"": ""Фили"", ""global_id"": 1508985884}]";"[{""value"": ""Фили"", ""global_id"": 1132155388}]";[];действует;58702001
137;Алтуфьево;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;район Бибирево;;;;[];действует;58701991
298;Петровский парк;Большая кольцевая линия;Северный административный округ;район Аэропорт;;;;[];действует;696737361
31;Тверская;Замоскворецкая линия;Центральный административный округ;Тверской район;;;;[];действует;58701974
208;Фонвизинская;Люблинско-Дмитровская линия;Северо-Восточный административный округ;Бутырский район;;;;[];действует;58701975
104;Калужская;Калужско-Рижская линия;Юго-Западный административный округ;Обручевский район;;;;[];действует;58701965
318;Аминьевская;Большая кольцевая линия;Западный административный округ;район Очаково-Матвеевское;;;"[{""value"": ""Аминьевская"", ""global_id"": 1272850193}]";[];действует;1266781654
174;Братиславская;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Марьино;;;;[];действует;58702144
193;Тропарёво;Сокольническая линия;Западный административный округ;район Тропарёво-Никулино;;;;[];действует;58702154
149;Полянка;Серпуховско-Тимирязевская линия;Центральный административный округ;район Якиманка;;;;[];действует;58702084
89;Ботанический сад;Калужско-Рижская линия;Северо-Восточный административный округ;район Свиблово;;;;[];действует;58701984
318;Давыдково;Большая кольцевая линия;Западный административный округ;Можайский район;;;;[];действует;1266781625
161;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;Юго-Западный административный округ;район Северное Бутово;;;;[];действует;58702080
96;Китай-город;Калужско-Рижская линия;Центральный административный округ;Тверской район;;;;[];действует;58702090
158;Пражская;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Центральное;;;;[];действует;58702100
146;Цветной бульвар;Серпуховско-Тимирязевская линия;Центральный административный округ;Тверской район;;;;[];действует;58702110
200;Пятницкое шоссе;Арбатско-Покровская линия;Северо-Западный административный округ;район Митино;;;;[];действует;58702120
60;Митино;Арбатско-Покровская линия;Северо-Западный административный округ;район Митино;;;;[];действует;58702130
115;Полежаевская;Таганско-Краснопресненская линия;Северный административный округ;Хорошёвский район;;;;[];действует;58702140
1;Бульвар Рокоссовского;Сокольническая линия;Восточный административный округ;район Богородское;;;;[];действует;58702205
87;Бабушкинская;Калужско-Рижская линия;Северо-Восточный административный округ;Бабушкинский район;;;;[];действует;58702215
71;Александровский сад;Филёвская линия;Центральный административный округ;Тверской район;;;;[];действует;58702225
278;Владыкино;Московское центральное кольцо;Северо-Восточный административный округ;район Марфино;;;;[];действует;277904745
290;Верхние Котлы;Московское центральное кольцо;Южный административный округ;Нагорный район;;"[{""value"": ""Верхние Котлы"", ""global_id"": 1508979796}]";"[{""value"": ""Верхние Котлы"", ""global_id"": 1132155488}]";[];действует;277904755
191;Улица Милашенкова;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Бутырский район;;;;[];действует;58701980
152;Нагатинская;Серпуховско-Тимирязевская линия;Южный административный округ;Нагорный район;;;"[{""value"": ""Нагатинская"", ""global_id"": 1132155490}]";[];действует;58701990
56;Крылатское;Арбатско-Покровская линия;Западный административный округ;район Крылатское;;;;[];действует;58702085
99;Шаболовская;Калужско-Рижская линия;Южный административный округ;Донской район;;;;[];действует;58701970
238;Хорошёвская;Большая кольцевая линия;Северный административный округ;Хорошёвский район;;;;[];действует;58702175
209;Петровско-Разумовская;Люблинско-Дмитровская линия;Северный административный округ;Тимирязевский район;;;"[{""value"": ""Петровско-Разумовская"", ""global_id"": 1132155430}]";[];действует;58702165
78;Таганская;Кольцевая линия;Центральный административный округ;Таганский район;;;;[];действует;58702155
160;Аннино;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Южное;;;;[];действует;58702041
267;Боровское шоссе;Солнцевская линия;Западный административный округ;район Ново-Переделкино;;;;[];действует;58702031
52;Парк Победы;Арбатско-Покровская линия;Западный административный округ;район Дорогомилово;;;;[];действует;58702021
73;Международная;Филёвская линия;Центральный административный округ;Пресненский район;"[{""value"": ""Тестовская"", ""global_id"": 1058903381}]";"[{""value"": ""Тестовская"", ""global_id"": 1508985132}]";"[{""value"": ""Тестовская"", ""global_id"": 1132155494}]";[];действует;58702011
249;Воронцовская;Большая кольцевая линия;Юго-Западный административный округ;Обручевский район;;;;[];действует;58701976
225;Раменки;Солнцевская линия;Западный административный округ;район Раменки;;;;[];действует;58702211
130;Новогиреево;Калининская линия;Восточный административный округ;район Новогиреево;;;"[{""value"": ""Новогиреево"", ""global_id"": 1132155457}]";[];действует;58702093
291;ЗИЛ;Московское центральное кольцо;Южный административный округ;Даниловский район;;;;[];действует;277904754
281;Балтийская;Московское центральное кольцо;Северный административный округ;Войковский район;;;;[];действует;277904744
220;Дорогомиловская;Солнцевская линия;Западный административный округ;район Дорогомилово;;;;[];строится;58701994
243;Терехово;Большая кольцевая линия;Северо-Западный административный округ;район Хорошёво-Мнёвники;;;;[];действует;58702015
10;Охотный ряд;Сокольническая линия;Центральный административный округ;Тверской район;;;;[];действует;58702005
125;Текстильщики;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Текстильщики;"[{""value"": ""Текстильщики"", ""global_id"": 1059235328}]";;"[{""value"": ""Текстильщики"", ""global_id"": 1132155413}]";[];действует;58701995
211;Верхние Лихоборы;Люблинско-Дмитровская линия;Северный административный округ;Бескудниковский район;;;;[];действует;58702124
150;Серпуховская;Серпуховско-Тимирязевская линия;Центральный административный округ;район Замоскворечье;;;;[];действует;58702114
91;Алексеевская;Калужско-Рижская линия;Северо-Восточный административный округ;Алексеевский район;;;;[];действует;58702068
69;Смоленская;Филёвская линия;Центральный административный округ;район Арбат;;;;[];действует;58702058
77;Павелецкая;Кольцевая линия;Центральный административный округ;район Замоскворечье;;"[{""value"": ""Павелецкий вокзал"", ""global_id"": 1508979807}]";"[{""value"": ""Павелецкий вокзал"", ""global_id"": 1272850186}]";"[[{""value"": ""Павелецкий"", ""global_id"": 1058615635}]]";действует;58701998
169;Дубровка;Люблинско-Дмитровская линия;Юго-Восточный административный округ;Южнопортовый район;;;;[];действует;58702160
302;Говорово;Солнцевская линия;Западный административный округ;район Солнцево;;;;[];действует;886123738
304;Зорге;Московское центральное кольцо;Северо-Западный административный округ;район Хорошёво-Мнёвники;;;;[];действует;905932318
310;Ольховая;Сокольническая линия;Новомосковский административный округ;поселение Сосенское;;;;[];действует;930063628
221;Плющиха;Солнцевская линия;Центральный административный округ;район Арбат;;;;[];строится;58701971
119;Пушкинская;Таганско-Краснопресненская линия;Центральный административный округ;Тверской район;;;;[];действует;58701981
74;Парк культуры;Кольцевая линия;Центральный административный округ;район Хамовники;;;;[];действует;58702101
113;Щукинская;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Щукино;"[{""value"": ""Щукинская"", ""global_id"": 1058984955}]";;"[{""value"": ""Щукинская"", ""global_id"": 1132155510}]";[];действует;58702091
287;Лужники;Московское центральное кольцо;Центральный административный округ;район Хамовники;;;;[];действует;277904751
177;Шипиловская;Люблинско-Дмитровская линия;Южный административный округ;район Зябликово;;;;[];действует;58702081
110;Планерная;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Северное Тушино;;;;[];действует;58702071
296;Соколиная Гора;Московское центральное кольцо;Восточный административный округ;район Соколиная Гора;;;;[];действует;277904741
196;Алма-Атинская;Замоскворецкая линия;Южный административный округ;район Братеево;;;;[];действует;58702109
172;Волжская;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Кузьминки;;;;[];действует;58701969
270;Андроновка;Московское центральное кольцо;Восточный административный округ;район Перово;;;"[{""value"": ""Андроновка"", ""global_id"": 1132155444}]";[];действует;277904748
29;Новокузнецкая;Замоскворецкая линия;Центральный административный округ;район Замоскворечье;;;;[];действует;58702191
45;Электрозаводская;Арбатско-Покровская линия;Восточный административный округ;район Соколиная Гора;;;"[{""value"": ""Электрозаводская"", ""global_id"": 1132155441}]";[];действует;58702151
289;Крымская;Московское центральное кольцо;Южный административный округ;Донской район;;;;[];действует;277904761
214;Дмитровское шоссе;Люблинско-Дмитровская линия;Северный административный округ;район Восточное Дегунино;;;;[];строится;58702181
312;Зюзино;Большая кольцевая линия;Юго-Западный административный округ;район Зюзино;;;;[];действует;1045820911
224;Ломоносовский проспект;Солнцевская линия;Западный административный округ;район Раменки;;;;[];действует;58702029
203;Спартак;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Покровское-Стрешнево;;;;[];действует;58702039
134;Площадь Ильича;Калининская линия;Центральный административный округ;Таганский район;"[{""value"": ""Москва-Товарная"", ""global_id"": 1059234781}]";;"[{""value"": ""Москва-Товарная"", ""global_id"": 1132155410}]";[];действует;58702049
67;Студенческая;Филёвская линия;Западный административный округ;район Дорогомилово;;;;[];действует;58702099
132;Шоссе Энтузиастов;Калининская линия;Восточный административный округ;район Перово;;;;[];действует;58702089
218;Парк Победы;Солнцевская линия;Западный административный округ;район Дорогомилово;;;;[];действует;58702019
163;Достоевская;Люблинско-Дмитровская линия;Центральный административный округ;Тверской район;;;;[];действует;58702009
3;Преображенская площадь;Сокольническая линия;Восточный административный округ;район Преображенское;;;;[];действует;58701999
6;Комсомольская;Сокольническая линия;Центральный административный округ;Красносельский район;"[{""value"": ""Каланчевская"", ""global_id"": 1059233585}]";;"[{""value"": ""Ленинградский вокзал"", ""global_id"": 1132155426}]";"[[{""value"": ""Ленинградский"", ""global_id"": 1058613060}], [{""value"": ""Казанский"", ""global_id"": 1058611738}]]";действует;58701989
166;Чкаловская;Люблинско-Дмитровская линия;Центральный административный округ;Басманный район;"[{""value"": ""Курская"", ""global_id"": 1059233904}]";;"[{""value"": ""Курская"", ""global_id"": 1132155409}]";"[[{""value"": ""Курский"", ""global_id"": 1058614652}]]";действует;58702036
187;Улица Сергея Эйзенштейна;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район;;;;[];действует;58702026
222;Третьяковская;Солнцевская линия;Центральный административный округ;район Замоскворечье;;;;[];строится;58702016
129;Новокосино;Калининская линия;Восточный административный округ;район Новокосино;;;;[];действует;58702006
170;Кожуховская;Люблинско-Дмитровская линия;Юго-Восточный административный округ;Южнопортовый район;;;;[];действует;58701996
33;Белорусская;Замоскворецкая линия;Центральный административный округ;Тверской район;"[{""value"": ""Белорусская"", ""global_id"": 1058906594}]";"[{""value"": ""Белорусский вокзал"", ""global_id"": 1508985008}]";"[{""value"": ""Белорусская"", ""global_id"": 1132155385}]";"[[{""value"": ""Белорусский"", ""global_id"": 1058611508}]]";действует;58701986
188;Выставочный центр;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район;;;;[];действует;58702013
83;Белорусская;Кольцевая линия;Центральный административный округ;Тверской район;"[{""value"": ""Белорусская"", ""global_id"": 1058906594}]";"[{""value"": ""Белорусский вокзал"", ""global_id"": 1508985008}]";"[{""value"": ""Белорусская"", ""global_id"": 1132155385}]";"[[{""value"": ""Белорусский"", ""global_id"": 1058611508}]]";действует;58702083
11;Библиотека имени Ленина;Сокольническая линия;Центральный административный округ;район Арбат;;;;[];действует;58702063
226;Косино;Некрасовская линия;Юго-Восточный административный округ;район Выхино-Жулебино;;;"[{""value"": ""Косино"", ""global_id"": 1132155450}]";[];действует;58702053
41;Первомайская;Арбатско-Покровская линия;Восточный административный округ;район Измайлово;;;;[];действует;58701964
122;Таганская;Таганско-Краснопресненская линия;Центральный административный округ;Таганский район;;;;[];действует;58702075
215;Битцевский парк;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Ясенево;;;;[];действует;58702054
229;Некрасовка;Некрасовская линия;Юго-Восточный административный округ;район Некрасовка;;;;[];действует;58702064
201;Суворовская;Кольцевая линия;Центральный административный округ;Мещанский район;;;;[];строится;58702074
